Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,std1,std2,std3,std4,std5,std6,std7,std8
0.001,1e-05,40,40,5,36.25,55.5427184409823,39,13.5323705987344,9.55764382305753,23.1666666666667,10.6797596978453,249.873809604298,0,0,0,0,0,0,0,0
0.001,0.0001,40,40,5,36,54.454716408293,39,13.40625,9.32608695652174,23.8333333333333,10.5043710539096,256.663572757869,0,0,0,0,0,0,0,0
0.001,0.001,40,40,5,35.25,53.3332635973512,37.5,13.9635222592665,10.7911488329797,19.7777777777778,11.3768334971209,258.913841790314,0,0,0,0,0,0,0,0
0.001,0.01,40,40,5,34.75,53.2164797571897,38,13.1052291801162,9.23566878980892,22.5555555555556,10.2320193758995,264.694950157196,0,0,0,0,0,0,0,0
0.001,0.1,40,40,5,28.75,46.4627813075765,30.25,8.758109360519,5.5327868852459,21,5.379634781729,307.287598615604,0,0,0,0,0,0,0,0
0.001,1,40,40,5,18.25,35.5864413224946,21,5.686994856723,3.27688399661304,21.5,1.84456697350035,372.136846144579,0,0,0,0,0,0,0,0
0.001,10,40,40,5,11.5,22.366739825635,14.25,4.43028758645795,2.29017689123071,67.6111111111111,0.0698608221310854,455.464372916439,0,0,0,0,0,0,0,0
0.001,100,40,40,5,11.5,21.4209010866409,13.5,4.39101616186218,2.26648228300497,70.1111111111111,0.0219672387221941,459.655290735015,0,0,0,0,0,0,0,0
0.001,1000,40,40,5,12.25,22.584129508011,15,4.43147235223976,2.28906580374708,69.1666666666667,0.0676666196059943,455.114471655896,0,0,0,0,0,0,0,0
0.001,10000,40,40,5,12.25,22.584129508011,15,4.43147235223976,2.28906580374708,69.1666666666667,0.0676666196059943,455.114471655896,0,0,0,0,0,0,0,0
0.001,100000,40,40,5,12.25,22.584129508011,15,4.43147235223976,2.28906580374708,69.1666666666667,0.0676666196059943,455.114471655896,0,0,0,0,0,0,0,0
0.01,1e-05,40,40,5,52.5,69.8479559410082,56,35.3363658127843,31.0475389145982,41,33.6325628742294,167.705181836692,0,0,0,0,0,0,0,0
0.01,0.0001,40,40,5,52.75,69.6343778530076,56,32.5167037861915,25.5813953488372,44.6111111111111,30.5247369732608,174.787155954404,0,0,0,0,0,0,0,0
0.01,0.001,40,40,5,55,71.1024231311684,57.5,31.4169139465875,23.5801781737194,47.0555555555556,29.2919331094447,168.095987800792,0,0,0,0,0,0,0,0
0.01,0.01,40,40,5,52.5,69.3255012942166,54.75,31.3227057302887,25.5805770584096,40.3888888888889,29.3719829295026,173.39496645486,0,0,0,0,0,0,0,0
0.01,0.1,40,40,5,47.75,65.6220625078366,50,24.4832501781896,18.0220356768101,38.1666666666667,22.0960189295725,198.793116483862,0,0,0,0,0,0,0,0
0.01,1,40,40,5,29.25,47.4333890256715,31.25,8.52806552637919,4.78249121858957,39.3333333333333,4.69467442444189,321.260109645051,0,0,0,0,0,0,0,0
0.01,10,40,40,5,16.75,31.1637090338933,20.25,4.82713633398565,2.51541364840472,59.6111111111111,0.521068391729016,417.210894352683,0,0,0,0,0,0,0,0
0.01,100,40,40,5,15.75,27.7746908194785,18.75,4.57271074316221,2.36883241813299,65.6666666666667,0.228451659148423,433.922291973834,0,0,0,0,0,0,0,0
0.01,1000,40,40,5,16.5,30.394439347825,19.5,4.75347785479035,2.48675615902896,53.7222222222222,0.461691002684079,417.848652274221,0,0,0,0,0,0,0,0
0.01,10000,40,40,5,15.5,27.9984242423524,17.75,4.58484871933762,2.37513028140784,65.8333333333333,0.241161223684107,433.007610801615,0,0,0,0,0,0,0,0
0.01,100000,40,40,5,15.5,27.9984242423524,17.75,4.58484871933762,2.37513028140784,65.8333333333333,0.241161223684107,433.007610801615,0,0,0,0,0,0,0,0
0.1,1e-05,40,40,5,65,79.2239892783996,69.75,51.395524264521,46.9453376205788,56.7777777777778,50.164864241421,116.07114129163,0,0,0,0,0,0,0,0
0.1,0.0001,40,40,5,61.5,77.3565640689058,65.75,46.0380907594639,39.9103139013453,54.3888888888889,44.5965102707961,128.628418550443,0,0,0,0,0,0,0,0
0.1,0.001,40,40,5,62.75,77.8312693461708,66.25,48.4655045421066,43.4227892652882,54.8333333333333,47.1345709194407,125.000055680165,0,0,0,0,0,0,0,0
0.1,0.01,40,40,5,64,77.7621391612257,68,42.7074601844091,34.2866756393001,56.6111111111111,41.0512220269631,130.618242172763,0,0,0,0,0,0,0,0
0.1,0.1,40,40,5,61,75.740032084616,63,39.8068444257821,31.9946000674992,52.6666666666667,38.0688028767209,140.251563487332,0,0,0,0,0,0,0,0
