Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,std1,std2,std3,std4,std5,std6,std7,std8
0.001,1e-05,40,40,3,36.175,55.707677067289,38.75,16.9752559214084,14.0653439520217,21.5833333333333,14.6377211924129,243.852180166151,2.1604076261463,1.66173066758605,2.41522945769824,2.04600677809772,2.20099313369511,2.10920154052332,2.17055208828402,9.69282682683489
0.001,0.0001,40,40,3,36.625,56.0307848705085,39.1,17.2966308688526,14.3621044334587,21.8833333333333,14.9775663043613,241.996380251916,2.27684601538571,1.60834990865939,2.41004840891907,1.88855456310743,1.94959818002067,2.16095321394679,1.98841047896563,9.28800598906405
0.001,0.001,40,40,3,36.3,55.3938997954232,38.8,16.8309000200953,13.9011114208389,21.6166666666667,14.469342225391,246.036453378767,1.48511129399636,1.68676148985118,1.90321365648269,2.15403538381486,2.50108647436522,1.32958578283218,2.35110294557971,10.9255657330649
0.001,0.01,40,40,3,34.75,53.940808180477,37.175,13.5035305774743,9.84120194393263,22.2777777777778,10.7029836544806,258.012173419246,2.42956328951888,2.14419603948404,2.5332510951564,2.40832491118387,2.20907772984638,3.02968848987466,2.63255839699508,13.3260787587204
0.001,0.1,40,40,3,33.85,52.7639924978583,36.425,12.8924496975613,9.29101658349153,21.8888888888889,10.0188981181773,265.76098173261,2.56634197080419,2.44250564976253,2.530508293253,2.70869202723208,2.52555206881526,1.76868818267018,3.01093118549601,15.786421947547
0.001,1,40,40,3,29.125,48.7443530391889,31.15,10.7338187158191,7.56372659131025,19.15,7.74690057554801,289.481133490799,3.03509564191239,2.66031335577018,2.98188978110638,2.27196602605631,1.88936509661203,3.60213033294579,2.46717088864357,14.2910618850525
0.001,10,40,40,3,19.075,36.0900785434593,21.3,5.0010766834367,2.71044374505455,33.4666666666667,0.87099258155979,377.930595460375,1.55478651624945,1.60918170246915,1.48977999867244,0.368093168964151,0.233876870570351,4.69773608026626,0.437340904721445,9.80670032072371
0.001,100,40,40,3,16.2,32.6737460193355,18.55,4.59505153243957,2.44559923228453,38.5166666666667,0.372135616685337,397.867023591663,0.977525219907679,1.23337968455766,0.93392838174146,0.123655641786098,0.0752343800495923,4.69677602994286,0.145476885756228,7.83438795205445
0.001,1000,40,40,3,16.375,32.7696763365985,18.375,4.5383880920209,2.41737261113979,37.3555555555556,0.316623525061903,396.76302199746,0.775044801572428,1.01844735461648,0.883883476483184,0.126943695389692,0.0750227894284968,3.44923999103789,0.145495239230927,6.18573488261363
0.001,10000,40,40,3,16.35,32.7197336757774,18.575,4.55808964042609,2.4300909752286,37.1388888888889,0.340940361834632,396.84133748783,0.859586463881842,1.19067301399969,0.874404559304978,0.119560304998041,0.0762151470322397,3.70317125802401,0.147063823239052,7.06094993303524
0.001,100000,40,40,3,16.35,32.7818573327811,18.55,4.55484207108234,2.42433399373629,38.3833333333333,0.329941063450591,397.303047417598,0.625832778517286,1.25844271469506,0.823272602348565,0.143684106584655,0.0909803257979285,5.28193143893894,0.175760621327523,8.4012945184671
0.01,1e-05,40,40,3,50.7,67.665177613559,53.7,31.0622961390916,26.3329385832661,38.0444444444444,29.16781227491,180.468783360463,2.82302044704682,1.58865832159936,2.98095808610438,3.06886146772432,3.49052998271402,2.48159203733823,3.20921340693037,9.50412408557905
0.01,0.0001,40,40,3,50.575,67.4854128467102,53.575,30.9769749580665,26.3546850120245,37.7333333333333,29.0869841150338,181.226697993443,2.82609369192806,1.66177546153584,2.98851970045372,3.15547490484026,3.54686159890882,2.53125862629565,3.29872345760262,9.9194757604887
0.01,0.001,40,40,3,50.2,67.6015436374156,53.625,30.329200986434,25.1172861068426,38.6388888888889,28.3606224292831,182.108770206616,1.89590201340798,1.33592913150671,1.68839996577957,3.04137463021072,3.75688035055323,1.39375690098373,3.22676303988958,8.87703541061435
0.01,0.01,40,40,3,50.775,67.8217052967614,53.825,29.669469541672,23.9556217034243,39.4222222222222,27.626434069415,181.930398414988,2.53708603629352,1.52396119571744,2.03118055436843,3.43064806759644,3.96632296410073,1.59091211942776,3.64169702228994,10.1239478191837
0.01,0.1,40,40,3,48.775,66.2257892403748,52.075,26.262169339374,20.1287740870717,38.4166666666667,23.9991520398839,192.958882225834,2.17450505224113,2.20325066624522,2.09844519161741,3.69288614318243,3.75569411530221,2.60160470685968,3.93280995056665,13.5661447458932
0.01,1,40,40,3,39.075,57.5657114210047,41.75,16.1890621357975,11.2436521112159,30.0111111111111,13.3327342458801,245.31643914447,2.97220924192389,2.55984363442919,3.03452357600552,3.30812576920924,2.85482406632898,3.74484556594223,3.57265919086808,14.7729552775259
0.01,10,40,40,3,27.25,43.6387333865143,29.675,6.46354948994167,3.56725220341454,36.9388888888889,2.46365989389394,341.765240278405,2.05818150587141,2.34700542498134,1.8784228017734,0.734899398454069,0.495259481208596,6.44484087754693,0.870514936226745,16.1229323562543
0.01,100,40,40,3,24.975,40.7280058977292,27.425,5.73287514484923,3.10956184542559,37.7444444444444,1.63907750062631,358.397991094701,1.4740816350076,1.43515265431527,1.29663024798899,0.389059551559663,0.242697726713757,5.3296798185679,0.451610199624131,8.02987824909258
0.01,1000,40,40,3,24.2,40.6474261685499,26.85,5.89221398451135,3.20489481619943,37.0833333333333,1.8176943394219,358.322808032103,1.93577432109795,1.97134842266068,1.80739222823013,0.402212081521339,0.250106896639905,3.21543026196298,0.458719808308227,10.6145199529708
0.01,10000,40,40,3,25.025,40.9343102638105,27.375,5.90734594248453,3.22343463020402,36.45,1.84458178813566,356.268654882642,1.76560502692735,2.08350046303651,1.46841751555884,0.401271667712887,0.273820572347499,4.22445116604761,0.485540249107242,12.8115233947416
0.01,100000,40,40,3,24.8,41.0669740249185,27.3,5.89450620476692,3.21099245836236,36.3833333333333,1.82751123763373,355.798199416133,1.75910330692784,1.90565358981816,1.47572957474524,0.234610328671493,0.160761258986814,3.02135177188828,0.285350473819159,10.1441816085337
