Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,std1,std2,std3,std4,std5,std6,std7,std8
0.001,1e-05,10,10,3,78,77.0699368784207,81.35,74.2293785229184,71.2024221054041,77.5251256281407,71.2451471718674,78.3552844402676,0,0,0,0,0,0,0,0
0.001,0.0001,10,10,3,78,77.0699368784207,81.35,74.2293785229184,71.2024221054041,77.5251256281407,71.2451471718674,78.3552844402676,0,0,0,0,0,0,0,0
0.001,0.001,10,10,3,78,77.100906086187,81.35,74.2881076058752,71.2948503525194,77.5437185929648,71.3123588886904,78.224714294187,0,0,0,0,0,0,0,0
0.001,0.01,10,10,3,78,77.3144193927109,81.5,74.4603702037251,71.4337816064891,77.7547738693467,71.5033397571689,77.5381048044733,0,0,0,0,0,0,0,0
0.001,0.1,10,10,3,77.45,78.015259708841,82,74.0548151419528,70.1945886091618,78.3643216080402,71.01017832093,76.0047441257285,0,0,0,0,0,0,0,0
0.001,1,10,10,3,78.7,80.0864866925801,83.15,75.4841166487234,70.9143427526566,80.6834170854271,72.5783902189698,69.783854968683,0,0,0,0,0,0,0,0
0.001,10,10,10,3,78,79.8509127510418,82.65,73.7125720876586,68.1330490405117,80.2874371859296,70.5396293884593,71.4928909663558,0,0,0,0,0,0,0,0
0.01,1e-05,10,10,3,79,77.4608914280407,82.05,75.0696601553603,72.4847696497253,77.8457286432161,72.2038853272223,76.7419992483653,0,0,0,0,0,0,0,0
0.01,0.0001,10,10,3,79,77.4608914280407,82.05,75.0696601553603,72.4847696497253,77.8457286432161,72.2038853272223,76.7419992483653,0,0,0,0,0,0,0,0
0.01,0.001,10,10,3,79.15,77.6006266546199,82.1,75.1826443120034,72.5317378023148,78.0346733668342,72.327132510232,76.3282702951127,0,0,0,0,0,0,0,0
0.01,0.01,10,10,3,78.3,77.9112647685417,82.15,75.2204547315292,72.2158518203423,78.4859296482412,72.3537723420975,75.5342657218408,0,0,0,0,0,0,0,0
0.01,0.1,10,10,3,79.2,79.8073173916701,83.1,76.702637803484,73.3153441238049,80.4180904522613,73.9941508808409,69.5741711263144,0,0,0,0,0,0,0,0
0.01,1,10,10,3,79,79.3889516217889,82.85,74.9966502981822,70.4568240942357,80.1618090452261,72.0331678352659,72.0103872418094,0,0,0,0,0,0,0,0
0.01,10,10,10,3,78.5,79.8652525480764,83.15,75.1665450326541,70.3127188068898,80.7402010050251,72.2089711322659,70.6939182916187,0,0,0,0,0,0,0,0
0.1,1e-05,10,10,3,77.3,76.3433009770866,81.55,73.1794560302355,70.3190720598862,76.2824120603015,70.0797417362008,80.739627672439,0,0,0,0,0,0,0,0
0.1,0.0001,10,10,3,78.1,77.12434360981,82.05,74.1305323724338,71.3189742446618,77.172864321608,71.1447576321432,78.1509841474998,0,0,0,0,0,0,0,0
0.1,0.001,10,10,3,77.3,76.7943367796753,81.75,73.65614938205,71.0135598438309,76.5030150753769,70.6228313586286,79.0761716075482,0,0,0,0,0,0,0,0
0.1,0.01,10,10,3,77.9,77.3350688672766,82.1,74.2032706502933,71.376379327153,77.2633165829146,71.2253060603867,77.4530491701912,0,0,0,0,0,0,0,0
0.1,0.1,10,10,3,77.35,77.1542629482855,81.8,73.8132564118643,70.9681757891124,76.8959798994975,70.7886984333878,78.0364933878029,0,0,0,0,0,0,0,0
0.1,1,10,10,3,78.3,78.7973493324923,82.75,74.9772889301119,71.3374380101543,79.0085427135678,72.0532449880135,73.2181519738832,0,0,0,0,0,0,0,0
0.1,10,10,10,3,78.25,78.2467189028198,82.3,73.4347407663487,68.6095640483964,78.9899497487437,70.2666221091589,76.0055147046269,0,0,0,0,0,0,0,0
1,1e-05,10,10,3,76.8,75.2363068773229,80.8,71.7097378187016,68.8094072438734,74.8653266331658,68.435001189364,84.4344602906348,0,0,0,0,0,0,0,0
1,0.0001,10,10,3,76.8,75.2363068773229,80.8,71.7097378187016,68.8094072438734,74.8653266331658,68.435001189364,84.4344602906348,0,0,0,0,0,0,0,0
1,0.001,10,10,3,76.8,75.2363068773229,80.8,71.7097378187016,68.8094072438734,74.8653266331658,68.435001189364,84.4344602906348,0,0,0,0,0,0,0,0
