Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy
1e-05,1e-05,6,6,3,46.7455621301775,35.1835193365516,55.6213017751479,36.3814500326584,39.4336283185841,33.767808426796,19.0189126150487,146.920163430803
1e-05,0.0001,6,6,3,46.7455621301775,35.1835193365516,55.6213017751479,36.3814500326584,39.4336283185841,33.767808426796,19.0189126150487,146.920163430803
1e-05,0.001,6,6,3,49.7041420118343,39.467607274762,60.9467455621302,40.5030635278942,43.2655873234585,38.0721430736587,23.9605956185141,137.171447599613
1e-05,0.01,6,6,3,44.9704142011834,34.6937610221663,57.9881656804734,35.0600126342388,36.5974282888229,33.6465595635041,16.4622556171215,148.928487327571
1e-05,0.1,6,6,3,44.3786982248521,34.4542248456348,57.9881656804734,34.9700975763299,36.366612111293,33.6768717793271,16.2562699075248,149.600090386553
1e-05,1,6,6,3,44.3786982248521,34.5120646413745,57.9881656804734,35.1075522059978,36.4169381107492,33.8890572900879,16.3720745083587,149.512357599504
1e-05,10,6,6,3,43.7869822485207,34.2372763943137,57.9881656804734,34.7757172293549,36.4451827242525,33.2525007578054,16.1917153602225,149.96573012518
1e-05,100,6,6,3,43.7869822485207,34.2705596953366,57.9881656804734,34.8432055749129,36.4842454394693,33.3434374052743,16.2577239470384,149.903653583422
1e-05,1000,6,6,3,43.7869822485207,34.2372763943137,57.9881656804734,34.7757172293549,36.4451827242525,33.2525007578054,16.1917153602225,149.96573012518
1e-05,10000,6,6,3,43.7869822485207,34.2705596953366,57.9881656804734,34.8432055749129,36.4842454394693,33.3434374052743,16.2577239470384,149.903653583422
1e-05,100000,6,6,3,43.7869822485207,34.2705596953366,57.9881656804734,34.8432055749129,36.4842454394693,33.3434374052743,16.2577239470384,149.903653583422
0.0001,1e-05,6,6,3,46.7455621301775,35.1835193365516,55.6213017751479,36.3814500326584,39.4336283185841,33.767808426796,19.0189126150487,146.920163430803
0.0001,0.0001,6,6,3,46.7455621301775,35.1835193365516,55.6213017751479,36.3814500326584,39.4336283185841,33.767808426796,19.0189126150487,146.920163430803
0.0001,0.001,6,6,3,49.7041420118343,39.467607274762,60.9467455621302,40.5030635278942,43.2655873234585,38.0721430736587,23.9605956185141,137.171447599613
0.0001,0.01,6,6,3,44.9704142011834,34.6937610221663,57.9881656804734,35.0600126342388,36.5974282888229,33.6465595635041,16.4622556171215,148.928487327571
0.0001,0.1,6,6,3,44.3786982248521,34.4542248456348,57.9881656804734,34.9700975763299,36.366612111293,33.6768717793271,16.2562699075248,149.600090386553
0.0001,1,6,6,3,44.3786982248521,34.5120646413745,57.9881656804734,35.1075522059978,36.4169381107492,33.8890572900879,16.3720745083587,149.512357599504
0.0001,10,6,6,3,43.7869822485207,34.2372763943137,57.9881656804734,34.7757172293549,36.4451827242525,33.2525007578054,16.1917153602225,149.96573012518
0.0001,100,6,6,3,43.7869822485207,34.2372763943137,57.9881656804734,34.7757172293549,36.4451827242525,33.2525007578054,16.1917153602225,149.96573012518
0.0001,1000,6,6,3,43.7869822485207,34.2705596953366,57.9881656804734,34.8432055749129,36.4842454394693,33.3434374052743,16.2577239470384,149.903653583422
0.0001,10000,6,6,3,43.7869822485207,34.2705596953366,57.9881656804734,34.8432055749129,36.4842454394693,33.3434374052743,16.2577239470384,149.903653583422
0.0001,100000,6,6,3,43.7869822485207,34.2705596953366,57.9881656804734,34.8432055749129,36.4842454394693,33.3434374052743,16.2577239470384,149.903653583422
0.001,1e-05,6,6,3,49.7041420118343,39.2716765781945,60.3550295857988,40.2332361516035,43.2,37.647772052137,23.7250442485324,137.502086954097
0.001,0.0001,6,6,3,49.7041420118343,39.2716765781945,60.3550295857988,40.2332361516035,43.2,37.647772052137,23.7250442485324,137.502086954097
0.001,0.001,6,6,3,49.7041420118343,39.467607274762,60.9467455621302,40.5030635278942,43.2655873234585,38.0721430736587,23.9605956185141,137.171447599613
0.001,0.01,6,6,3,46.7455621301775,35.9197323637414,58.5798816568047,36.212412028151,38.3338977311209,34.3134283116096,18.2704514474755,145.720773622858
0.001,0.1,6,6,3,44.9704142011834,34.7430079630506,57.9881656804734,35.1060462171573,36.7340178867175,33.6162473476811,16.5790538144477,148.770073238654
0.001,1,6,6,3,46.1538461538462,35.5124856198517,59.7633136094675,37.3675051415915,39.0800794176042,35.7987268869354,19.4742280685265,147.021085309653
0.001,10,6,6,3,43.7869822485207,34.2372763943137,57.9881656804734,34.7757172293549,36.4451827242525,33.2525007578054,16.1917153602225,149.96573012518
0.001,100,6,6,3,43.7869822485207,34.2372763943137,57.9881656804734,34.7757172293549,36.4451827242525,33.2525007578054,16.1917153602225,149.96573012518
0.001,1000,6,6,3,43.7869822485207,34.2372763943137,57.9881656804734,34.7757172293549,36.4451827242525,33.2525007578054,16.1917153602225,149.96573012518
0.001,10000,6,6,3,43.7869822485207,34.2372763943137,57.9881656804734,34.7757172293549,36.4451827242525,33.2525007578054,16.1917153602225,149.96573012518
0.001,100000,6,6,3,43.7869822485207,34.2372763943137,57.9881656804734,34.7757172293549,36.4451827242525,33.2525007578054,16.1917153602225,149.96573012518
0.01,1e-05,6,6,3,47.3372781065089,43.4413408953609,63.3136094674556,39.4682422451994,38.4903486027082,40.4971203394968,20.5313847520961,130.350639646224
0.01,0.0001,6,6,3,47.3372781065089,43.4413408953609,63.3136094674556,39.4682422451994,38.4903486027082,40.4971203394968,20.5313847520961,130.350639646224
0.01,0.001,6,6,3,49.112426035503,45.6185334119488,64.4970414201183,40.8198866114261,39.2178770949721,42.5583510154592,21.9380959772721,125.936989477548
0.01,0.01,6,6,3,46.7455621301775,43.5913618549586,63.3136094674556,38.7051173310715,36.2649006622517,41.497423461655,18.4879666509938,131.334515382009
0.01,0.1,6,6,3,44.3786982248521,40.7256591009752,61.5384615384615,36.1721492653751,31.6712204007286,42.1642922097605,13.1102993378554,140.303677073824
0.01,1,6,6,3,44.3786982248521,40.7256591009752,61.5384615384615,36.1721492653751,31.6712204007286,42.1642922097605,13.1102993378554,140.303677073824
0.01,10,6,6,3,44.9704142011834,40.7588475069459,61.5384615384615,36.3211223694466,31.7799499886338,42.3764777205214,13.2916998344028,140.303677073824
0.01,100,6,6,3,45.5621301775148,41.049303988759,61.5384615384615,36.4112639161755,32.0571955719557,42.1339799939376,13.6077811983454,139.434049455188
0.01,1000,6,6,3,45.5621301775148,41.049303988759,61.5384615384615,36.4112639161755,32.0571955719557,42.1339799939376,13.6077811983454,139.434049455188
0.01,10000,6,6,3,45.5621301775148,41.049303988759,61.5384615384615,36.4112639161755,32.0571955719557,42.1339799939376,13.6077811983454,139.434049455188
0.01,100000,6,6,3,45.5621301775148,41.049303988759,61.5384615384615,36.4112639161755,32.0571955719557,42.1339799939376,13.6077811983454,139.434049455188
0.1,1e-05,6,6,3,62.7218934911243,56.0760625657845,73.3727810650888,54.9242424242424,57.2933816266052,52.7432555319794,42.0038728192147,99.6129447133938
0.1,0.0001,6,6,3,62.7218934911243,56.0760625657845,73.3727810650888,54.9242424242424,57.2933816266052,52.7432555319794,42.0038728192147,99.6129447133938
0.1,0.001,6,6,3,62.7218934911243,56.0760625657845,73.3727810650888,54.9242424242424,57.2933816266052,52.7432555319794,42.0038728192147,99.6129447133938
0.1,0.01,6,6,3,62.1301775147929,55.9313429534674,72.7810650887574,53.6927391710813,55.2420647643475,52.2279478629888,40.1814067920374,100.448131278838
0.1,0.1,6,6,3,55.6213017751479,51.2889218438147,71.0059171597633,48.6218643542893,49.6992719214941,47.5901788420734,33.5038656061806,111.084644393239
0.1,1,6,6,3,47.3372781065089,44.1523970360943,62.7218934911243,41.9833178869323,42.8031496062992,41.1943013034253,24.8548605736712,127.742956781598
0.1,10,6,6,3,49.112426035503,44.3175789647916,65.0887573964497,42.6852814495767,41.8462434478742,43.5586541376175,24.8775960814949,128.405506478656
0.1,100,6,6,3,49.112426035503,44.3175789647916,65.0887573964497,42.6852814495767,41.8462434478742,43.5586541376175,24.8775960814949,128.405506478656
0.1,1000,6,6,3,49.112426035503,44.3175789647916,65.0887573964497,42.6852814495767,41.8462434478742,43.5586541376175,24.8775960814949,128.405506478656
0.1,10000,6,6,3,49.112426035503,44.3175789647916,65.0887573964497,42.6852814495767,41.8462434478742,43.5586541376175,24.8775960814949,128.405506478656
0.1,100000,6,6,3,49.112426035503,44.3175789647916,65.0887573964497,42.6852814495767,41.8462434478742,43.5586541376175,24.8775960814949,128.405506478656
1,1e-05,6,6,3,59.7633136094675,55.5828737883178,70.414201183432,50.4641089108911,51.5323854660348,49.4392240072749,35.8698980198637,101.452731991112
1,0.0001,6,6,3,59.7633136094675,55.5828737883178,70.414201183432,50.4641089108911,51.5323854660348,49.4392240072749,35.8698980198637,101.452731991112
1,0.001,6,6,3,59.7633136094675,55.5828737883178,70.414201183432,50.4641089108911,51.5323854660348,49.4392240072749,35.8698980198637,101.452731991112
1,0.01,6,6,3,61.5384615384615,58.2729039089326,72.189349112426,52.9719741299661,53.8341158059468,52.1370112155199,39.0301322994837,95.506822417943
1,0.1,6,6,3,66.2721893491124,61.1933243648645,76.9230769230769,61.3063763608087,62.9511338230597,59.745377387087,49.9877134503042,88.5297659062935
1,1,6,6,3,66.8639053254438,60.8567860518253,76.9230769230769,61.0091743119266,61.5550755939525,60.4728705668384,49.3409543617973,90.2466179261631
1,10,6,6,3,56.8047337278106,51.306909355121,66.2721893491124,44.7773732847942,41.608118657299,48.4692331009397,26.3609642491572,115.208435495728
1,100,6,6,3,56.8047337278106,51.306909355121,66.2721893491124,44.7773732847942,41.608118657299,48.4692331009397,26.3609642491572,115.208435495728
1,1000,6,6,3,56.2130177514793,50.8795727249747,65.6804733727811,44.1381230854915,40.8189544166881,48.044862079418,25.3895644390894,116.327651626764
1,10000,6,6,3,56.2130177514793,50.8795727249747,65.6804733727811,44.1381230854915,40.8189544166881,48.044862079418,25.3895644390894,116.327651626764
1,100000,6,6,3,56.2130177514793,50.8795727249747,65.6804733727811,44.1381230854915,40.8189544166881,48.044862079418,25.3895644390894,116.327651626764
10,1e-05,6,6,3,59.1715976331361,55.1496830944084,69.8224852071006,50.0078186082877,51.6472868217054,48.4692331009397,35.4929156587215,102.039001153568
10,0.0001,6,6,3,59.1715976331361,55.1496830944084,69.8224852071006,50.0078186082877,51.6472868217054,48.4692331009397,35.4929156587215,102.039001153568
10,0.001,6,6,3,59.1715976331361,55.1496830944084,69.8224852071006,50.0078186082877,51.6472868217054,48.4692331009397,35.4929156587215,102.039001153568
10,0.01,6,6,3,60.3550295857988,57.1688426724222,71.0059171597633,51.3296227581942,52.3824550331335,50.3182782661413,36.9784398866032,97.8343722708156
10,0.1,6,6,3,60.3550295857988,56.7149694754716,71.0059171597633,51.0906298003072,51.7907194020554,50.4092149136102,36.543307123978,99.1461285233839
10,1,6,6,3,61.5384615384615,57.3670419277073,72.189349112426,52.0795107033639,52.5455106448627,51.6217035465293,37.7390395960285,97.8932680953652
10,10,6,6,3,57.396449704142,53.6716203768286,67.4556213017752,45.8321060382916,44.5717559438556,47.1658078205517,28.8237932456057,107.676477268371
10,100,6,6,3,56.2130177514793,50.0733597370601,65.6804733727811,43.8715252772577,41.794731064764,46.1655046983934,25.7621808435233,116.720839187233
10,1000,6,6,3,56.2130177514793,50.0733597370601,65.6804733727811,43.8715252772577,41.794731064764,46.1655046983934,25.7621808435233,116.720839187233
10,10000,6,6,3,56.2130177514793,50.0733597370601,65.6804733727811,43.8715252772577,41.794731064764,46.1655046983934,25.7621808435233,116.720839187233
10,100000,6,6,3,56.2130177514793,50.0733597370601,65.6804733727811,43.8715252772577,41.794731064764,46.1655046983934,25.7621808435233,116.720839187233
100,1e-05,6,6,3,56.2130177514793,51.1595392428348,66.8639053254438,46.4960390006094,46.7381316998469,46.2564413458624,30.4071740629414,112.094208567978
