Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy
0.1,1e-05,7,7,3,63.0952380952381,51.9775899415563,65.0952380952381,49.3639240534601,48.1613779978584,50.6436781609195,40.961422947227,135.772151479624
0.1,0.0001,7,7,3,63.1904761904762,52.0905868969538,65.1904761904762,49.4572903633701,48.2402496303872,50.752052545156,41.0671519513069,135.465682821853
0.1,0.001,7,7,3,63.8571428571429,52.3631069634569,65.6666666666667,50.0642863814997,48.8237087288355,51.3825944170772,41.7716571309843,134.715656646593
0.1,0.01,7,7,3,65.1428571428571,53.1710482637365,66.7619047619048,51.1812685244637,49.8189788018759,52.6272577996716,43.0629254049665,132.53940941767
0.1,0.1,7,7,3,64.4285714285714,53.759393543259,66.2380952380952,51.0757130261931,48.9378362134019,53.431855500821,42.8056160687392,131.593955534803
0.1,1,7,7,3,63.2380952380952,51.8222279130443,65.2857142857143,48.7974698493147,46.4871298799547,51.3990147783251,40.0557431879121,137.201381808042
0.1,10,7,7,3,64.9047619047619,54.5697096721705,67,50.8937610496844,47.2198226424245,55.431855500821,42.2101949417551,131.114061790872
1,1e-05,7,7,3,66.2380952380952,52.8948834082917,67.3809523809524,51.0341751755131,49.1159174264497,53.1559934318555,42.7896546574712,133.838156481905
1,0.0001,7,7,3,66.2380952380952,52.8955766425344,67.3809523809524,51.05324865101,49.1209678137647,53.1888341543514,42.8082842278754,133.848481772303
1,0.001,7,7,3,65.8571428571429,52.1017664816285,66.8571428571428,50.6038140971304,48.8046921546455,52.5779967159277,42.304315030601,135.950142640073
1,0.01,7,7,3,68.9523809523809,55.8204385418233,69.8571428571428,54.0995021339769,52.1755737447268,56.2036124794745,46.3941782142735,125.591969797641
1,0.1,7,7,3,66.9047619047619,55.0236818040889,67.9047619047619,52.409866680336,50.547671659419,54.4663382594417,44.4153461839781,127.744994477371
1,1,7,7,3,67.4285714285714,55.0226390191196,68.7619047619048,52.290317439471,50.3549602882156,54.4105090311987,44.268719885305,127.845511409591
1,10,7,7,3,67.9523809523809,55.4656907205354,68.952380952381,52.5021245194263,49.4793618595363,55.9671592775041,44.2979207913309,127.790168759885
10,1e-05,7,7,3,65.2857142857143,53.7644104031511,67.0476190476191,51.1594992595445,49.2177991526439,53.2939244663383,42.9080562575509,131.323443757459
10,0.0001,7,7,3,65.3809523809524,53.8313526032708,67.0952380952381,51.2531015589564,49.3611395181223,53.3300492610837,43.027747394033,131.091260633324
10,0.001,7,7,3,66.8095238095238,55.2839088716018,68.2857142857143,52.6758979849786,50.9217625569818,54.5878489326765,44.7267418989725,126.916560938604
10,0.01,7,7,3,66,53.4603329800708,67.0952380952381,51.1811812411316,49.8734669918079,52.5714285714286,43.0719504294682,131.67502722496
10,0.1,7,7,3,62.6666666666667,52.9969030303846,65.4285714285714,49.8994970596499,47.881506619334,52.1247947454844,41.4216270501981,133.569405575831
10,1,7,7,3,66.5238095238095,54.9580558785278,68.3809523809524,51.6251224841179,48.920690474503,54.7192118226601,43.3094105097766,128.768875102118
10,10,7,7,3,68.3809523809524,56.8593948769421,69.4761904761905,53.2562661366998,49.5504486248944,57.688013136289,45.0724184977004,124.563169526225
100,1e-05,7,7,3,65.2380952380952,53.1946201834017,66.8095238095238,50.946947159333,49.3031644066176,52.7323481116585,42.7353669772516,132.708645057532
100,0.0001,7,7,3,65.2380952380952,53.147479022657,66.8095238095238,50.9598754748905,49.3278477642043,52.7323481116585,42.7521875398421,132.830191909503
100,0.001,7,7,3,65.2380952380952,53.2312340310064,66.8571428571429,50.9585634556406,49.2400668582829,52.8440065681445,42.7386122094236,132.697476558077
100,0.01,7,7,3,66.7619047619048,55.2691938589386,68.2857142857143,52.9875535586105,51.503965680381,54.5747126436782,45.1566657929848,126.769006207282
100,0.1,7,7,3,66.4285714285714,54.5689557552816,67.8571428571429,51.8738035634611,50.0977047513711,53.8916256157635,43.754937697683,128.987865763805
100,1,7,7,3,66.5238095238095,54.0421824630899,67.9523809523809,51.2334332842298,48.8447299271342,53.9211822660099,42.9051515927553,131.027670423265
100,10,7,7,3,66.3333333333333,54.3526352888211,67.0476190476191,51.2636798444999,47.313912700975,56.0788177339901,42.5862577589739,131.784253705165
1000,1e-05,7,7,3,65.1428571428571,52.9817745232471,66.5714285714286,51.0576605976561,48.8801658718649,53.5073891625616,42.7608300453463,133.742488639261
1000,0.0001,7,7,3,64.7619047619048,53.1775938647954,66.5238095238095,51.0621535808978,48.8703719660349,53.5369458128079,42.7698564785286,133.212415912357
1000,0.001,7,7,3,64.8095238095238,53.2530598364786,66.4761904761905,51.0137278420367,48.5829143056712,53.799671592775,42.6606360655771,133.210394124277
1000,0.01,7,7,3,67.0476190476191,55.5236729534064,68.6190476190476,53.1753861312162,51.1422218472514,55.4154351395731,45.2816042733142,126.531928099624
