Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,std1,std2,std3,std4,std5,std6,std7,std8
0.001,1e-05,10,10,3,80.4,74.9601415739678,80.55,72.7861194361333,72.2930804578329,73.2859296482412,69.7546691002898,83.5530174993576,0,0,0,0,0,0,0,0
0.001,0.0001,10,10,3,80.4,74.9601415739678,80.55,72.7861194361333,72.2930804578329,73.2859296482412,69.7546691002898,83.5530174993576,0,0,0,0,0,0,0,0
0.001,0.001,10,10,3,80.4,74.9601415739678,80.55,72.7861194361333,72.2930804578329,73.2859296482412,69.7546691002898,83.5530174993576,0,0,0,0,0,0,0,0
0.001,0.01,10,10,3,80.45,75.0588956046641,80.6,72.8891107644306,72.4146311221327,73.3698492462312,69.8700255220414,83.2116875499638,0,0,0,0,0,0,0,0
0.001,0.1,10,10,3,80.65,75.0353589307436,80.65,73.0065921467469,72.4226765891166,73.6,69.9955760229159,83.3762419105906,0,0,0,0,0,0,0,0
0.001,1,10,10,3,81.65,76.6878626637066,81.65,74.1788378165644,73.7741991600189,74.5879396984925,71.3067659403493,77.7471927081686,0,0,0,0,0,0,0,0
0.001,10,10,10,3,81.45,76.5025093728807,81.45,73.8018898501583,73.2376663862635,74.3748743718593,70.8807417522125,78.4836819772956,0,0,0,0,0,0,0,0
0.01,1e-05,10,10,3,79.55,76.6444749640442,81.7,74.6001254411964,73.0609688531303,76.2055276381909,71.7261771820075,78.7226248933183,0,0,0,0,0,0,0,0
0.01,0.0001,10,10,3,79.6,76.815844749534,81.75,74.7398939165546,73.1812906612219,76.3663316582915,71.8810401128473,78.1664670005674,0,0,0,0,0,0,0,0
0.01,0.001,10,10,3,79.6,76.815844749534,81.75,74.7398939165546,73.1812906612219,76.3663316582915,71.8810401128473,78.1664670005674,0,0,0,0,0,0,0,0
0.01,0.01,10,10,3,79.45,76.5100187114197,81.55,74.4843894328469,73.0494021017031,75.9768844221106,71.6018228858721,79.0810658774736,0,0,0,0,0,0,0,0
