Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,std1,std2,std3,std4,std5,std6,std7,std8
0.001,1e-05,10,10,3,76.965,73.3205627398645,78.915,70.3047703944409,68.1458788685832,72.6215577889447,66.905606301023,90.2278448905157,1.32833437892054,1.41829647204885,1.64554111329847,1.81083196923606,1.86127336319061,2.08923248636112,2.0171030865303,4.51367352786461
0.001,0.0001,10,10,3,77.005,73.3174944976655,78.95,70.336918159747,68.2059009232697,72.6221608040201,66.9430474008679,90.2184369788468,1.37445948972273,1.39544146953878,1.62685791225499,1.78796349423849,1.83783932511653,2.07331977399971,1.99141578627918,4.42727687656637
0.001,0.001,10,10,3,77.185,73.2902433410955,78.94,70.507373797417,68.5902797513866,72.5407537688442,67.1453157122038,90.0926765778716,1.51163083382742,1.19600073874676,1.14183088843216,1.54847933069644,1.52109692370294,1.71870707040688,1.72161755345971,3.87761037888602
0.001,0.01,10,10,3,77.545,73.8154494608776,79.33,70.86847968052,68.7253001034474,73.1596984924623,67.5361187283898,88.5470386629136,1.38833433373314,1.39733978510567,1.19238323444176,1.65056353104317,1.5834172195245,1.94435346930486,1.83258776290072,4.48475274839239
0.001,0.1,10,10,3,78.39,75.2706271095715,80.115,71.9537358816396,69.5447527247712,74.5624623115578,68.7354979296041,83.9014151833544,1.19368709840096,1.8709983017659,1.54381382009331,1.95824534643402,1.44354072993333,2.86427729304421,2.15134961165162,5.63002432727556
0.001,1,10,10,3,76.125,71.8850940287355,78.57,68.0235829196505,64.6477635649513,71.8133165829146,64.2813769485032,96.0074873573311,1.38046892194082,1.36569258676253,1.54833243631119,1.95576773708445,2.11501708573695,2.51448466142063,2.17998014616287,4.30227667823121
0.001,10,10,10,3,76.615,75.0276318496484,79.81,69.9903102050749,65.4762917073312,75.2625628140703,66.4129620738488,86.5494366043155,1.20670580047039,1.76166539143389,1.88234487334872,1.66515635554787,2.43561487205402,2.36817527361876,1.88432279147526,5.44513327590048
0.01,1e-05,10,10,3,77.465,73.6488692050985,79.615,71.1001159647685,68.7934309593128,73.588040201005,67.7869072881726,89.2673805968519,1.24164988802981,1.81230379556751,1.92686417672745,2.04042221868032,1.76282619961435,2.67889735574066,2.25507187236316,5.54673822396647
0.01,0.0001,10,10,3,77.395,73.5516439405723,79.535,71.0366777053974,68.8271008946779,73.4075879396985,67.7209189138521,89.484242222503,1.28613330914369,1.70110955196116,1.85697633563573,2.00632645460454,1.79740338011106,2.47997790189779,2.22216540289179,5.33749772654826
0.01,0.001,10,10,3,77.425,73.6640122940625,79.585,71.0907098197715,68.8379532590351,73.515527638191,67.7792973530884,89.1661391287299,1.23788574234907,1.84691635164352,1.93377150207108,2.12121149629739,1.84758422866684,2.72444120331446,2.34612695439011,5.69482048469146
0.01,0.01,10,10,3,77.675,74.1645775717757,79.855,71.4668130529864,69.1385560471238,73.9753768844221,68.1949739949791,87.5536441235539,1.26913137398949,1.78976616916403,1.88597896771588,2.11939495319563,1.87479295629988,2.67359573626567,2.34686858717099,5.56098948209005
0.01,0.1,10,10,3,78.36,75.6425051051384,80.825,72.6553491741846,70.0977254329182,75.4358291457286,69.5094803406629,82.8313444071387,1.48207812059809,1.85492176730003,1.30261489149923,1.62595795971111,1.62251989574541,2.27325152154625,1.80238288480308,5.65156964732987
0.01,1,10,10,3,76.275,72.1220718233172,78.725,68.6437892314066,65.4839710870067,72.1824623115578,64.9918117119933,94.9624218958155,1.46368067252086,1.95650601657487,1.85236335528427,2.10677189945917,1.9017193859916,3.18044020883898,2.31597094325863,5.80878380575233
0.01,10,10,10,3,77.66,75.1355757838216,80.54,70.3184648733302,65.9137083132246,75.5114572864322,66.7762810852817,86.1367555149941,2.95162855236073,1.46025150882817,2.1824807495651,2.84468603078488,4.34981114591963,1.96542148710061,3.28977197402907,5.47708270211542
0.1,1e-05,10,10,3,77.825,72.1587002795556,79.235,69.9270024906025,68.6133491710214,71.3020603015075,66.532637686947,93.4378637101204,0.714240077907201,1.14053522789986,0.944001530130587,1.21086970856344,0.721718339090995,1.81567016121718,1.31805339565807,3.4699722315836
