Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,std1,std2,std3,std4,std5,std6,std7,std8
0.001,1e-05,10,10,3,79.85,74.2021157896409,79.9,72.1807504727779,71.4905362776025,72.8844221105528,69.0721663751224,86.2381708698084,0,0,0,0,0,0,0,0
0.001,0.0001,10,10,3,79.85,74.2021157896409,79.9,72.1807504727779,71.4905362776025,72.8844221105528,69.0721663751224,86.2381708698084,0,0,0,0,0,0,0,0
0.001,0.001,10,10,3,79.4,73.875862294647,79.75,71.6524346941755,70.5806363552163,72.7572864321608,68.4655126539602,87.6128580510786,0,0,0,0,0,0,0,0
0.001,0.01,10,10,3,79.55,74.0242891839642,79.85,71.7586382692279,70.6959439031764,72.8537688442211,68.5841901536017,87.1114290873784,0,0,0,0,0,0,0,0
0.001,0.1,10,10,3,80.3,75.1810568499525,80.55,72.8175902608042,71.6431701137463,74.0311557788945,69.7576156812304,83.3543670915351,0,0,0,0,0,0,0,0
0.001,1,10,10,3,80.4,76.3787738377903,81,74.1189253259581,72.8665760341814,75.4150753768844,71.2029112342727,79.4191921138613,0,0,0,0,0,0,0,0
0.001,10,10,10,3,78.35,79.3363399457234,83,74.9582511365625,70.8101320129063,79.6226130653266,72.0084611400082,72.0144429957383,0,0,0,0,0,0,0,0
0.01,1e-05,10,10,3,79.5,76.1451430472212,81.65,74.2928959967605,73.0311606479706,75.5989949748744,71.3961986566129,80.1783960489468,0,0,0,0,0,0,0,0
0.01,0.0001,10,10,3,79.5,76.1451430472212,81.65,74.2928959967605,73.0311606479706,75.5989949748744,71.3961986566129,80.1783960489468,0,0,0,0,0,0,0,0
0.01,0.001,10,10,3,79.7,76.1321240275908,81.6,74.2437758695249,73.0390178679956,75.4889447236181,71.344025662415,80.1819373389802,0,0,0,0,0,0,0,0
0.01,0.01,10,10,3,79.65,76.0401816633765,81.55,74.1449122122224,72.9229333812803,75.4085427135678,71.2331954242534,80.5017162976652,0,0,0,0,0,0,0,0
0.01,0.1,10,10,3,79.9,76.8118606667825,81.9,74.7736973573572,73.4086694651425,76.1904522613065,71.9270779538597,78.0428713439915,0,0,0,0,0,0,0,0
0.01,1,10,10,3,78.35,77.0586517158818,82.5,74.747744445766,72.2940328570825,77.3738693467337,71.8503403437308,78.0347054487852,0,0,0,0,0,0,0,0
0.01,10,10,10,3,78.75,78.5380293154624,82.85,75.2009138008404,71.9677936441593,78.7381909547739,72.321768748978,73.7978753110318,0,0,0,0,0,0,0,0
0.1,1e-05,10,10,3,75.55,73.5876957089029,79.9,70.7853712596971,69.4093214199469,72.2170854271357,67.4842644137663,88.7603613737896,0,0,0,0,0,0,0,0
