Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,,,,,,,,
10,0.1,10,10,3,78.525,72.68659139,78.905,68.28516864,67.16733775,69.44974874,64.71254597,91.59498958,,,,,,,,
10,1,10,10,3,93.915,87.467025,93.915,88.31013993,88.15320754,88.46778894,87.01515787,41.74373626,0.269825046,0.397299552,0.269825046,0.496705426,0.563862376,0.435813221,0.552802742,1.347246665
10,10,10,10,3,79.885,74.14075819,80.685,70.41718589,69.26221539,71.63341709,67.0814592,86.76853298,,,,,,,,
10,100,10,10,3,79.28,73.62081506,80.14,69.97236446,68.78577028,71.21748744,66.58393646,88.51666773,,,,,,,,
10,1000,10,10,3,79.435,73.04936764,79.83,69.24340131,68.1212664,70.41768844,65.77761666,90.38344128,,,,,,,,
10,10000,10,10,3,78.505,72.21035758,78.88,68.14911162,66.99399097,69.35567839,64.55867697,93.19905244,,,,,,,,
10,100000,10,10,3,78.525,72.24575337,78.9,68.18589226,67.03809149,69.3838191,64.60019453,93.07611711,,,,,,,,
100,1.00E-05,10,10,3,76.385,70.55682095,76.825,66.26585315,65.2722723,67.29457286,62.47233648,98.56868891,,,,,,,,
100,0.0001,10,10,3,76.385,70.55682095,76.825,66.26585315,65.2722723,67.29457286,62.47233648,98.56868891,,,,,,,,
100,0.001,10,10,3,76.395,70.55153033,76.835,66.26908777,65.27422541,67.29914573,62.47584477,98.58708116,,,,,,,,
100,0.01,10,10,3,76.94,70.94200119,77.355,66.8519764,65.87738178,67.8601005,63.12517626,97.27081472,,,,,,,,
100,0.1,10,10,3,75.905,70.51642878,76.325,66.05860284,64.97549976,67.18241206,62.2364878,98.77321718,,,,,,,,
100,1,10,10,3,77.6,71.39625686,77.65,67.16923097,66.24006566,68.12909548,63.48213142,95.73450316,,,,,,,,
100,10,10,10,3,78.83,72.81128654,79.68,69.12736998,68.14732993,70.15145729,65.65559062,91.05673474,,,,,,,,
100,100,10,10,3,77.78,71.85411102,78.91,68.08042182,67.1538628,69.04663317,64.49260975,94.19410848,,,,,,,,
100,1000,10,10,3,77.265,70.96914512,77.665,66.80820289,65.92946105,67.71517588,63.08212235,97.11272387,,,,,,,,
100,10000,10,10,3,77.225,70.92227576,77.64,66.78772352,65.89944347,67.70457286,63.05913695,97.27418394,,,,,,,,
100,100000,10,10,3,77.08,70.88308543,77.53,66.75180414,65.82855101,67.70683417,63.01682857,97.43537352,,,,,,,,
1000,1.00E-05,10,10,3,76.27,71.04742031,77.905,67.11714167,66.14154367,68.12969849,63.41835321,96.90543021,,,,,,,,
1000,0.0001,10,10,3,76.33,71.07837184,77.965,67.16684599,66.19602486,68.17437186,63.47398717,96.79878939,,,,,,,,
1000,0.001,10,10,3,76.215,70.93803865,77.82,66.99535772,66.03872517,67.9879397,63.28394449,97.25428627,,,,,,,,
1000,0.01,10,10,3,76.44,71.13718299,78.015,67.1854506,66.16817155,68.24371859,63.49167354,96.64752621,,,,,,,,
1000,0.1,10,10,3,78.025,71.81446279,79.22,68.22473885,67.32170279,69.15939698,64.65623572,94.3051506,,,,,,,,
1000,1,10,10,3,77.98,72.15484917,79.32,68.43451007,67.46285904,69.44371859,64.88588506,93.22387813,,,,,,,,
1000,10,10,10,3,80.395,73.17365453,80.83,70.08851856,69.28376399,70.91683417,66.73681131,89.71266007,,,,,,,,
1000,100,10,10,3,79.565,71.98558436,79.59,68.6059078,67.84322793,69.39035176,65.08879991,93.64105585,,,,,,,,
1000,1000,10,10,3,77.58,70.81409945,78.01,66.84758491,65.91423923,67.81356784,63.12261198,97.66258541,,,,,,,,
