Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,,,,,,,,
0.001,100000,30,30,3,81.795,81.06232011,83.82,76.30126267,73.21882824,79.87472362,73.53527089,65.49060681,,,,,,,,
0.01,1.00E-05,30,30,3,89.665,84.89013695,89.665,82.9277789,81.83151249,84.06482412,81.00829694,51.0379827,,,,,,,,
0.01,0.0001,30,30,3,88.65,84.58192081,88.93,82.3063833,80.90366584,83.79351759,80.30714792,52.28456383,,,,,,,,
0.01,0.001,30,30,3,86.89,83.8430684,87.66,80.8246887,78.82827168,83.03467337,78.63132771,55.22756747,,,,,,,,
0.01,0.01,30,30,3,87.94,84.19477058,88.365,81.65011926,79.90368103,83.54879397,79.55727942,53.8745186,,,,,,,,
0.01,0.1,30,30,3,86.695,84.01322932,87.605,80.94547121,78.87317387,83.21748744,78.76548325,54.73992797,,,,,,,,
0.01,1,30,30,3,86.135,83.39131122,86.935,79.96892916,77.78262618,82.32512563,77.67295199,56.89733307,,,,,,,,
0.01,10,30,30,3,83.705,82.47727935,85.545,78.32817566,75.38889156,81.62467337,75.80972143,60.59487978,,,,,,,,
0.01,100,30,30,3,85.365,83.39565517,86.835,79.87767022,77.23199334,82.80974874,77.55425006,57.31586693,,,,,,,,
0.01,1000,30,30,3,84.525,82.6941129,85.915,79.13530039,76.39191808,82.21241206,76.71923567,59.71235032,,,,,,,,
0.01,10000,30,30,3,84.35,82.41818812,85.82,78.92055276,76.44834926,81.62070352,76.48871328,60.37822903,,,,,,,,
0.01,100000,30,30,3,84.365,82.45727355,85.895,78.97486596,76.4662398,81.72180905,76.54773051,60.28216027,,,,,,,,
0.1,1.00E-05,30,30,3,90.075,85.76271145,90.43,84.22036737,82.95321092,85.57321608,82.43876481,48.2732279,,,,,,,,
0.1,0.0001,30,30,3,90.155,85.75731293,90.51,84.23185723,82.96917161,85.5798995,82.45168254,48.28732339,,,,,,,,
0.1,0.001,30,30,3,90.19,85.88147516,90.555,84.26962405,82.93295346,85.70135678,82.49205886,47.93435974,,,,,,,,
0.1,0.01,30,30,3,90.38,85.99594024,90.735,84.61883432,83.36943505,85.9538191,82.88315361,47.48126237,,,,,,,,
0.1,0.1,30,30,3,90.645,85.94688315,90.85,84.49333024,83.17701379,85.91527638,82.73879579,47.72485403,,,,,,,,
0.1,1,30,30,3,86.855,83.77170895,87.375,80.80024172,79.1827495,82.5261809,78.61655596,55.16842544,,,,,,,,
0.1,10,30,30,3,86.295,83.67948331,86.935,80.41054871,78.36165119,82.62758794,78.17295907,55.86810672,,,,,,,,
0.1,100,30,30,3,89.85,85.4468067,90.05,83.49309722,81.74502917,85.44703518,81.60591907,49.76188793,,,,,,,,
0.1,1000,30,30,3,87.24,83.89789578,87.795,80.83307199,78.39928338,83.57050251,78.62101731,55.44186682,,,,,,,,
0.1,10000,30,30,3,88.51,84.44032148,88.945,82.1939921,80.45791186,84.06994975,80.16406894,53.07328884,,,,,,,,
0.1,100000,30,30,3,88.21,84.65172643,89.12,82.39650953,80.44152258,84.53613065,80.38235701,52.52983012,,,,,,,,
1,1.00E-05,30,30,3,88.315,85.18866611,89.255,82.82719068,80.51613605,85.41678392,80.84798768,51.07462989,,,,,,,,
1,0.0001,30,30,3,89.525,85.89469273,90.39,84.13762841,82.2730447,86.21658291,82.32275784,48.38031449,,,,,,,,
1,0.001,30,30,3,89.675,86.02200144,90.53,84.36652749,82.50676748,86.44512563,82.57694858,47.94943137,,,,,,,,
1,0.01,30,30,3,89.28,85.42041221,89.85,83.38727765,81.41370094,85.60437186,81.48023519,50.03790511,,,,,,,,
1,0.1,30,30,3,88.87,84.99608979,89.295,83.20212539,81.72517364,84.84065327,81.29478003,51.0396421,,,,,,,,
1,1,30,30,3,86.895,84.31487202,88.065,81.54396432,79.62442368,83.65311558,79.43520745,53.57945194,,,,,,,,
1,10,30,30,3,87.26,84.18772033,88.22,81.81755013,80.3184028,83.4318593,79.7491215,53.70998086,,,,,,,,
1,100,30,30,3,88.5,83.9678448,88.725,81.76046176,80.77177195,82.78427136,79.71091199,54.02193841,,,,,,,,
1,1000,30,30,3,85.635,82.2255617,86.595,79.2446831,77.85950897,80.70201005,76.89597228,60.1354785,,,,,,,,
1,10000,30,30,3,85.335,82.78328786,86.515,79.18425621,76.95595896,81.77673367,76.779567,58.99098938,,,,,,,,
1,100000,30,30,3,85.21,82.50655451,86.6,79.31263235,77.58088254,81.22155779,76.95147566,59.462612,,,,,,,,
10,1.00E-05,30,30,3,90.01,85.38853476,90.375,83.83330383,82.89709199,84.81693467,82.01302645,49.25278846,,,,,,,,
10,0.0001,30,30,3,90.705,85.95305427,91.07,84.8363212,84.13470157,85.56713568,83.13607255,47.20277032,,,,,,,,
10,0.001,30,30,3,92.095,86.4102484,92.095,85.86911852,85.37354011,86.3738191,84.2951748,45.50585845,,,,,,,,
10,0.01,30,30,3,90.19,85.56386727,90.39,84.23392418,83.3477947,85.16346734,82.46272356,48.59704901,,,,,,,,
10,0.1,30,30,3,91.51,85.88251998,91.51,84.98101539,84.37191781,85.60015075,83.30673967,47.3462806,,,,,,,,
10,1,30,30,3,90.915,85.96227583,91.235,84.81631375,83.86914682,85.81432161,83.10964525,47.32834508,,,,,,,,
10,10,30,30,3,90.84,86.15875862,91.295,84.83970572,83.83374128,85.93201005,83.13472232,46.74611859,,,,,,,,
10,100,30,30,3,87.205,83.20457651,87.695,79.92690774,78.45333273,81.4920603,77.6517575,56.93174742,,,,,,,,
10,1000,30,30,3,89.205,85.22176458,89.97,83.27643464,81.52399918,85.24834171,81.35825764,50.48317474,,,,,,,,
10,10000,30,30,3,87.65,84.1167141,88.415,81.26955197,79.10821489,83.69798995,79.10901082,54.46617859,,,,,,,,
10,100000,30,30,3,87.37,83.8597792,88.135,80.94611893,78.8025178,83.34462312,78.75038471,55.29835411,,,,,,,,
100,1.00E-05,30,30,3,89.675,84.6282561,90.135,83.14930626,82.40412144,83.92743719,81.26131931,51.65184353,,,,,,,,
100,0.0001,30,30,3,89.78,84.63024434,90.225,83.32131851,82.63554637,84.03929648,81.45347038,51.6107112,,,,,,,,
100,0.001,30,30,3,88.065,84.02178351,89.185,82.2825566,80.98038571,83.6979397,80.27474802,54.09066005,,,,,,,,
100,0.01,30,30,3,90.375,84.8593918,90.375,83.81537954,83.42046602,84.21567839,82.01557829,50.58634601,,,,,,,,
100,0.1,30,30,3,86.305,83.04416517,87.59,80.3641686,78.91050462,81.91125628,78.13807577,57.49205641,,,,,,,,
100,1,30,30,3,90.055,85.38240978,90.395,84.18833742,83.41345977,85.01296482,82.41702077,49.12712595,,,,,,,,
100,10,30,30,3,88.86,85.18277116,90.14,83.6779027,82.19086939,85.30994975,81.8201692,50.3779188,,,,,,,,
100,100,30,30,3,87.33,83.41080773,88.315,81.25861193,79.88065057,82.72150754,79.13527357,56.18842281,,,,,,,,
100,1000,30,30,3,86.96,82.80748026,87.62,80.03900924,78.57005608,81.61482412,77.76999399,58.22597212,,,,,,,,
100,10000,30,30,3,86.72,83.46136745,88.085,80.69965883,78.69664489,82.89623116,78.48747506,56.49177275,,,,,,,,
100,100000,30,30,3,86.855,82.82914673,87.775,80.05083425,78.3510059,81.88879397,77.77624638,58.35490075,,,,,,,,
1000,1.00E-05,30,30,3,89.475,84.91308524,90.15,83.46244414,82.16872512,84.85949749,81.59174745,51.10992049,,,,,,,,
1000,0.0001,30,30,3,89.115,84.80992693,89.865,82.87456895,81.38275662,84.49060302,80.93058897,51.59138418,,,,,,,,
1000,0.001,30,30,3,88.75,84.45413448,89.515,82.48362353,81.03356611,84.05326633,80.49609678,52.76133678,,,,,,,,
1000,0.01,30,30,3,88.605,84.45257258,89.365,82.45565483,80.80429014,84.26120603,80.45935419,52.91307736,,,,,,,,
1000,0.1,30,30,3,90.84,85.36989182,90.84,84.13403701,83.19955569,85.11246231,82.3496714,49.29706425,,,,,,,,
1000,1,30,30,3,88.645,84.41501633,89.07,82.23236703,80.91860373,83.62688442,80.22277724,52.76582837,,,,,,,,
1000,10,30,30,3,87.84,83.92937295,88.74,81.97176186,80.99736392,83.01135678,79.93791367,54.18601707,,,,,,,,
1000,100,30,30,3,86.935,83.27071355,88.095,80.80007314,79.22579616,82.51356784,78.61069561,56.81484439,,,,,,,,
1000,1000,30,30,3,84.475,81.60875725,85.925,78.20214666,76.3737875,80.1819598,75.70855725,62.55357327,,,,,,,,
1000,10000,30,30,3,85.05,81.49130365,86.015,78.23812341,76.80685772,79.76331658,75.76302752,62.6085574,,,,,,,,
1000,100000,30,30,3,85.05,81.49777369,86.04,78.24326143,76.84397092,79.73336683,75.7700814,62.56034727,,,,,,,,
10000,1.00E-05,30,30,3,91.01,85.26161629,91.015,84.25210852,83.61035276,84.90743719,82.49643329,49.4335493,,,,,,,,
10000,0.0001,30,30,3,90.91,85.00684033,90.91,84.12386086,83.54739413,84.71100503,82.35543952,50.23485976,,,,,,,,
10000,0.001,30,30,3,90.26,84.75538197,90.29,83.66840888,83.04668732,84.30321608,81.84715872,51.1036709,,,,,,,,
10000,0.01,30,30,3,88.835,83.53595678,89.3,81.81463605,80.78761271,82.88899497,79.76830093,55.49329552,,,,,,,,
10000,0.1,30,30,3,91.41,85.65320733,91.41,84.82717271,84.23309161,85.43256281,83.13677931,48.09249034,,,,,,,,
10000,1,30,30,3,90.845,85.16636073,90.845,83.75948173,82.90720114,84.64356784,81.93928634,49.89337057,,,,,,,,
10000,10,30,30,3,88.355,84.36507423,89.27,82.42871477,81.08310433,83.89889447,80.43874243,53.00177523,,,,,,,,
10000,100,30,30,3,86.845,82.7367945,87.515,80.00079298,78.32703496,81.8340201,77.72325783,58.61571824,,,,,,,,
10000,1000,30,30,3,88.86,83.49093702,89.105,81.65936448,80.96380397,82.37060302,79.60892775,55.36211866,,,,,,,,
10000,10000,30,30,3,89.69,84.14214195,89.69,82.46511225,81.45616128,83.53969849,80.48866518,53.42955777,,,,,,,,
10000,100000,30,30,3,89.69,84.65201735,90.14,83.30409668,82.41557829,84.26251256,81.43099243,51.66193847,,,,,,,,
100000,1.00E-05,30,30,3,89.56,83.94490597,89.56,82.72225603,82.11381271,83.34331658,80.79647436,53.79403883,,,,,,,,
100000,0.0001,30,30,3,89.79,84.12143827,89.79,83.00319487,82.42905033,83.58834171,81.10953279,53.18139047,,,,,,,,
100000,0.001,30,30,3,90.28,84.37037537,90.28,83.30059346,82.6624899,83.95080402,81.43808989,52.40024562,,,,,,,,
100000,0.01,30,30,3,90.62,84.6069894,90.62,83.67097678,83.03885974,84.31497487,81.85066407,51.6004574,,,,,,,,
100000,0.1,30,30,3,89.74,84.20170465,89.74,83.09265242,82.37282363,83.83346734,81.20303277,53.03229589,,,,,,,,
100000,1,30,30,3,91.325,85.29033539,91.335,84.72524213,84.19339534,85.26552764,83.02466386,49.25152064,,,,,,,,
100000,10,30,30,3,89.37,83.63211414,89.455,82.17425539,81.31748826,83.07396985,80.17027616,54.99991517,,,,,,,,
100000,100,30,30,3,85.885,81.75857059,86.415,78.8747396,77.43303021,80.42532663,76.47798658,61.73023281,,,,,,,,
100000,1000,30,30,3,90.115,84.25391384,90.12,82.8932227,82.01724118,83.81020101,80.97321126,52.94626478,,,,,,,,
100000,10000,30,30,3,88.885,83.74428064,89.29,82.16784284,81.09478519,83.3060804,80.1584571,54.8088642,,,,,,,,
100000,100000,30,30,3,89.02,83.7101271,89.215,82.10215655,81.08528887,83.1761809,80.08687416,54.89686075,,,,,,,,
0.001,1.00E-05,40,40,3,87.305,84.87615995,88.29,81.43431495,78.67588871,84.51773869,79.28336714,52.37119876,,,,,,,,
0.001,0.0001,40,40,3,88.06,84.99123027,89.065,82.15715833,80.12529673,84.34170854,80.1217904,51.43483145,,,,,,,,
0.001,0.001,40,40,3,88.115,85.07326719,89.12,82.23925677,80.21418304,84.41572864,80.21329328,51.15795121,,,,,,,,
0.001,0.01,40,40,3,88.65,85.65344528,89.395,83.04798991,80.7199559,85.60688442,81.1011715,49.47529396,,,,,,,,
0.001,0.1,40,40,3,88.61,85.08140409,89.075,82.05155032,79.92493962,84.34949749,79.99808066,51.21365366,,,,,,,,
0.001,1,40,40,3,90.155,85.97302545,90.345,83.83752754,82.24668545,85.52085427,82.0051063,47.79445628,,,,,,,,
0.001,10,40,40,3,88.26,85.23861503,89.385,82.29744051,79.92366223,84.9158794,80.2625311,50.8920443,,,,,,,,
0.001,100,40,40,3,87.415,84.16026578,88.195,80.57432315,77.98643434,83.75522613,78.28795611,54.8505037,,,,,,,,
0.001,1000,40,40,3,88.84,84.85284228,89.405,82.10552823,80.01997043,84.38944724,80.05488287,51.93925056,,,,,,,,
0.001,10000,40,40,3,87.915,84.7528387,88.835,81.94666374,79.53873758,84.61693467,79.86638177,52.54169205,,,,,,,,
0.001,100000,40,40,3,88.115,84.84500733,88.93,81.97363386,79.5733588,84.63256281,79.89716883,52.22010965,,,,,,,,
0.01,1.00E-05,40,40,3,84.855,83.99844518,86.59,80.23830412,77.34858568,83.51296482,77.94149228,55.4288442,,,,,,,,
0.01,0.0001,40,40,3,85.21,84.27788065,87.02,80.53213527,77.58718869,83.87829146,78.26880173,54.55199507,,,,,,,,
0.01,0.001,40,40,3,86.02,84.40924981,87.615,81.0124478,78.43581532,83.91628141,78.81615602,53.87194796,,,,,,,,
0.01,0.01,40,40,3,85.42,83.59434782,86.935,80.07396343,77.43137981,82.99025126,77.77469905,56.60419634,,,,,,,,
0.01,0.1,40,40,3,85.51,84.44384463,87.36,81.0082649,78.02626109,84.36145729,78.80025957,54.03495522,,,,,,,,
0.01,1,40,40,3,85.33,84.09213654,86.755,80.14841263,77.11759413,83.54241206,77.84494467,55.15243462,,,,,,,,
0.01,10,40,40,3,88.4,85.39599779,89.54,82.42319256,80.02764075,85.10502513,80.39631422,50.45729454,,,,,,,,
0.01,100,40,40,3,86.76,84.24820284,87.685,80.35655719,77.38850799,84.10633166,78.01846504,54.94506064,,,,,,,,
0.01,1000,40,40,3,88.905,85.21812694,89.58,82.22158116,79.7170515,85.04603015,80.16293193,51.11561652,,,,,,,,
0.01,10000,40,40,3,89.09,85.86689627,90.01,83.40285159,81.01866682,86.10829146,81.48544976,48.84321344,,,,,,,,
0.01,100000,40,40,3,89.08,85.83946624,90,83.38953865,81.00708878,86.09316583,81.47068553,48.93353154,,,,,,,,
0.1,1.00E-05,40,40,3,84.815,84.63775674,86.835,81.08444879,78.05147018,84.4460804,78.88987301,53.37318572,,,,,,,,
0.1,0.0001,40,40,3,84.875,84.74617889,86.895,81.17424124,78.13446242,84.54396985,78.99022123,53.01740753,,,,,,,,
0.1,0.001,40,40,3,84.12,84.36595384,86.405,80.53539702,77.20658788,84.26140704,78.26344987,54.51447218,,,,,,,,
0.1,0.01,40,40,3,83.82,84.29857665,86.275,80.28158266,76.85161292,84.13693467,77.97499301,54.85506416,,,,,,,,
0.1,0.1,40,40,3,84.195,84.19047077,86.435,80.10387202,76.74314142,83.85336683,77.7881569,55.19211218,,,,,,,,
0.1,1,40,40,3,84.53,83.67920465,86.225,79.56329366,76.72149566,82.8019598,77.1901302,56.51994829,,,,,,,,
0.1,10,40,40,3,89.94,86.08558681,90.355,84.15288894,82.71484126,85.68135678,82.35985443,47.33448011,,,,,,,,
0.1,100,40,40,3,87.41,84.67855444,88.48,81.34872774,78.8750837,84.1918593,79.18586662,52.89488272,,,,,,,,
0.1,1000,40,40,3,85.99,83.72659891,87.05,80.32845468,77.98862715,82.93005025,78.0591592,55.92703645,,,,,,,,
0.1,10000,40,40,3,86.135,83.76753344,87.13,80.43078397,78.15469807,82.95115578,78.17603525,55.72382373,,,,,,,,
0.1,100000,40,40,3,86.175,83.72380599,87.155,80.41419872,78.15082802,82.91849246,78.15806481,55.84973086,,,,,,,,
1,1.00E-05,40,40,3,88.425,85.65525544,89.72,83.21650812,81.0799079,85.58969849,81.28990852,49.30603552,,,,,,,,
1,0.0001,40,40,3,87.16,85.09871663,88.675,82.2168053,79.70834701,85.01592965,80.16447902,51.45653416,,,,,,,,
1,0.001,40,40,3,88.4,85.45104377,89.675,83.00187807,81.06680029,85.1118593,81.06224453,49.83116603,,,,,,,,
1,0.01,40,40,3,87.76,85.11095356,89.14,82.24553774,79.89867646,84.91256281,80.19569421,51.31600258,,,,,,,,
1,0.1,40,40,3,87.6,85.3658353,89.46,82.58018719,80.38516306,85.06025126,80.5735801,50.37045392,,,,,,,,
1,1,40,40,3,87.235,85.19408788,88.72,81.93562274,79.57014334,84.55432161,79.85991201,51.09383372,,,,,,,,
1,10,40,40,3,87.64,84.6659947,88.795,81.57425016,79.43526453,83.94698492,79.45957204,52.62501217,,,,,,,,
1,100,40,40,3,86.035,84.57760493,87.865,81.21501766,78.68679366,84.0218593,79.04970191,53.20969695,,,,,,,,
1,1000,40,40,3,84.16,82.87158455,85.915,78.65789492,75.63958865,82.11984925,76.16221806,59.32599878,,,,,,,,
1,10000,40,40,3,88.19,84.38962969,89.075,81.53370728,79.63729753,83.65296482,79.41934685,53.3241671,,,,,,,,
1,100000,40,40,3,86.32,83.73972023,87.635,80.08752203,77.54921108,83.02502513,77.7636056,56.06656323,,,,,,,,
10,1.00E-05,40,40,3,82.66,81.70874729,84.905,77.52367034,74.8660229,80.48110553,74.92716213,62.90221618,,,,,,,,
10,0.0001,40,40,3,82.62,81.71624063,84.9,77.49515328,74.82324628,80.46834171,74.89485978,62.89167328,,,,,,,,
10,0.001,40,40,3,83.855,82.85407633,85.98,78.95602224,76.12993552,82.12683417,76.51417688,59.23585755,,,,,,,,
10,0.01,40,40,3,85.45,82.85905855,86.805,79.5918781,77.66902873,81.69120603,77.26014926,58.48393035,,,,,,,,
10,0.1,40,40,3,84.915,82.83675998,86.645,79.52025339,77.27437187,82.01979899,77.17191111,58.7738832,,,,,,,,
10,1,40,40,3,83.675,82.26065604,85.965,78.73441308,76.29169704,81.43045226,76.28142622,60.85614664,,,,,,,,
10,10,40,40,3,87.22,83.38539141,87.675,80.24905414,78.21423845,82.49562814,77.98214457,56.76134625,,,,,,,,
10,100,40,40,3,87.05,83.67428789,87.69,80.4104713,78.26463189,82.7838191,78.15941221,55.94573964,,,,,,,,
10,1000,40,40,3,85.68,81.89289114,86.585,78.60529704,76.62341569,80.79557789,76.14902555,61.69979047,,,,,,,,
10,10000,40,40,3,84.74,81.61367642,86.125,77.87523398,75.4543135,80.63060302,75.30868865,62.98856433,,,,,,,,
10,100000,40,40,3,84.17,81.14793473,85.555,77.18998363,74.71528524,80.00030151,74.54547714,64.57471892,,,,,,,,
100,1.00E-05,40,40,3,85.925,82.65696358,86.94,79.61630159,77.52493871,81.90251256,77.27728521,59.22037642,,,,,,,,
100,0.0001,40,40,3,85.92,82.61438939,86.92,79.60252064,77.53082151,81.86537688,77.26281703,59.34653613,,,,,,,,
100,0.001,40,40,3,85.605,82.675884,86.94,79.59029279,77.37422397,82.02909548,77.24305952,59.2582345,,,,,,,,
100,0.01,40,40,3,86.785,83.31629809,87.81,80.71420257,78.82454454,82.79115578,78.50676912,56.89754811,,,,,,,,
100,0.1,40,40,3,82.885,81.5272868,85.07,77.73063882,75.38973582,80.32020101,75.16411586,63.22259287,,,,,,,,
100,1,40,40,3,84.515,82.635192,86.21,79.18239889,76.65944797,81.97723618,76.7796588,59.74003672,,,,,,,,
100,10,40,40,3,83.29,81.87406651,84.765,77.74173004,75.07495581,80.72351759,75.1711574,62.30356462,,,,,,,,
100,100,40,40,3,85.945,83.18127815,87.215,80.11414735,77.81579688,82.6959799,77.81689527,57.67459135,,,,,,,,
100,1000,40,40,3,86.58,83.61377745,87.68,80.66510013,78.32798609,83.30743719,78.42944935,56.26642812,,,,,,,,
100,10000,40,40,3,86.68,84.04541155,88.025,81.20622556,79.07074574,83.56974874,79.04712007,54.66617926,,,,,,,,
100,100000,40,40,3,87.77,84.37200562,88.845,81.92194813,80.02021391,84.02748744,79.85223663,53.39407255,,,,,,,,
1000,1.00E-05,40,40,3,82.22,81.51799676,84.575,77.39612056,74.40400627,80.73497487,74.76612972,63.742957,,,,,,,,
1000,0.0001,40,40,3,82.23,81.55194115,84.58,77.40714733,74.40087185,80.76346734,74.77783635,63.6459786,,,,,,,,
1000,0.001,40,40,3,84.27,82.43537462,86.075,78.75520097,76.04012431,81.78557789,76.29435103,60.44775125,,,,,,,,
1000,0.01,40,40,3,84.43,82.41861826,86.215,78.93025822,76.55272965,81.53884422,76.50290109,60.28282921,,,,,,,,
1000,0.1,40,40,3,84.93,82.59144694,86.47,79.41103394,77.29593774,81.74929648,77.04626936,59.45703453,,,,,,,,
1000,1,40,40,3,84.43,82.06861006,85.63,78.27399134,75.67197194,81.18356784,75.75992492,61.60903935,,,,,,,,
1000,10,40,40,3,85.535,83.12015994,87.01,80.13547195,78.06834713,82.42326633,77.85657628,57.69698432,,,,,,,,
1000,100,40,40,3,81.985,80.11024977,83.825,75.6351804,72.74981404,78.91688442,72.79868937,68.3480262,,,,,,,,
1000,1000,40,40,3,86.405,82.64257583,87.185,79.716474,78.03730384,81.54427136,77.40378399,59.01367735,,,,,,,,
1000,10000,40,40,3,86.665,83.04323276,87.5,80.26140945,78.58990683,82.10763819,78.00321367,57.65394316,,,,,,,,
1000,100000,40,40,3,84.95,81.57757003,85.63,78.42057307,76.56772983,80.46849246,75.9477333,62.6947745,,,,,,,,
10000,1.00E-05,40,40,3,84.085,80.86407357,84.745,77.40502052,75.64041092,79.2938191,74.8297783,64.91261709,,,,,,,,
10000,0.0001,40,40,3,85.28,81.66158776,85.9,78.52233606,76.77208732,80.39507538,76.07448872,62.24618989,,,,,,,,
10000,0.001,40,40,3,86.59,82.6167841,87.205,79.96352879,78.27756614,81.76924623,77.68060307,59.02378621,,,,,,,,
10000,0.01,40,40,3,84.895,81.72572375,85.63,78.35839016,76.36880297,80.51788945,75.87658985,62.27606241,,,,,,,,
10000,0.1,40,40,3,82.975,81.35729079,84.905,77.7689427,75.5157478,80.2581407,75.20690316,63.75671801,,,,,,,,
10000,1,40,40,3,86.385,83.08877619,87.56,80.43576133,78.4108338,82.64301508,78.19521333,57.78321103,,,,,,,,
10000,10,40,40,3,86.405,83.19939315,87.57,80.36305369,78.27984825,82.65884422,78.10887853,57.44519296,,,,,,,,
10000,100,40,40,3,84.9,82.71894706,86.6,79.57290881,77.08002602,82.35934673,77.20746682,59.40574608,,,,,,,,
10000,1000,40,40,3,84.805,82.03914123,85.825,78.63395565,76.37277849,81.14211055,76.16462883,61.46400458,,,,,,,,
10000,10000,40,40,3,84.045,82.16833405,85.69,78.84898914,76.31644955,81.66849246,76.4019677,61.28330479,,,,,,,,
10000,100000,40,40,3,84.73,81.62913414,85.675,78.08259039,75.72428249,80.71447236,75.54846959,62.9577156,,,,,,,,
100000,1.00E-05,40,40,3,85.815,82.66485982,86.575,79.56334557,77.15038585,82.24226131,77.21385513,59.65611782,,,,,,,,
100000,0.0001,40,40,3,86.02,82.83044319,86.725,79.86890015,77.50741209,82.49190955,77.55589317,59.07127538,,,,,,,,
100000,0.001,40,40,3,84.745,81.76601657,85.855,78.58037368,76.68976447,80.6258794,76.13746022,62.05558586,,,,,,,,
100000,0.01,40,40,3,88.36,84.18489748,89.15,82.10869961,80.76854156,83.51889447,80.08536684,53.58186817,,,,,,,,
100000,0.1,40,40,3,84.66,81.10955579,85.41,78.11418799,76.73151968,79.58256281,75.63718739,63.81367723,,,,,,,,
100000,1,40,40,3,86.42,82.0570181,87.045,79.73648886,78.68813207,80.86110553,77.45587536,60.40159597,,,,,,,,
100000,10,40,40,3,85.365,82.47718366,86.595,79.15903516,76.96871222,81.5660804,76.7592597,59.93545734,,,,,,,,
100000,100,40,40,3,86.93,82.51279795,87.29,80.08399585,78.68212269,81.57175879,77.8264029,59.19096159,,,,,,,,
100000,1000,40,40,3,85.81,82.30426489,86.85,79.12971374,76.57141748,82.10854271,76.70633264,61.07077825,,,,,,,,
100000,10000,40,40,3,85.29,81.90511796,86.705,78.8843274,76.87236703,81.08140704,76.46363062,61.66302905,,,,,,,,
100000,100000,40,40,3,86.375,83.05762286,87.63,80.60145799,78.62963136,82.77211055,78.37449525,57.83425411,,,,,,,,
