Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,,,,,,,,
1,1,14,14,3,88.80952381,80.50633752,88.80952381,78.66787794,76.81758789,80.61412151,75.13225841,56.05772417,,,,,,,,
1,0.1,14,14,3,88.95238095,80.75265591,88.95238095,78.85660487,76.99658418,80.81116585,75.35314694,55.36669534,1.071869398,2.000703272,1.071869398,1.764773405,1.938990447,1.603193197,2.068260767,5.725110875
1,1.00E-05,14,14,3,88.42857143,79.99912743,88.42857143,77.91289377,76.00350327,79.92775041,74.24791205,57.51211653,,,,,,,,
1,0.0001,14,14,3,88.42857143,79.99912743,88.42857143,77.91289377,76.00350327,79.92775041,74.24791205,57.51211653,,,,,,,,
1,0.001,14,14,3,88.42857143,80.06982524,88.42857143,77.92798471,76.02954119,79.93103448,74.26597557,57.30765007,,,,,,,,
1,1.00E-05,21,21,3,88.28571429,80.03396933,88.28571429,77.81880324,75.66304741,80.11165846,74.12184132,57.6371758,,,,,,,,
1,0.0001,21,21,3,88.28571429,80.03396933,88.28571429,77.81880324,75.66304741,80.11165846,74.12184132,57.6371758,,,,,,,,
1,0.01,14,14,3,88.19047619,79.60155256,88.19047619,77.56286965,75.67245964,79.55665025,73.84032315,58.62194875,,,,,,,,
1,0.001,21,21,3,88.19047619,79.83898619,88.19047619,77.66417097,75.53692898,79.92446634,73.94288974,58.15844359,,,,,,,,
1,10,14,14,3,88.0952381,79.6373503,88.0952381,77.41738761,75.48235447,79.46141215,73.66628413,58.54616297,,,,,,,,
10,0.001,14,14,3,87.95238095,78.84465429,87.95238095,77.52798973,75.99062697,79.12972085,73.82161376,60.47348228,,,,,,,,
10,0.01,21,21,3,87.95238095,79.16191257,87.95238095,77.59899305,76.05480482,79.20853859,73.90340761,59.60085569,,,,,,,,
10,0.01,14,14,3,87.9047619,78.72766245,87.9047619,77.4283219,75.88992003,79.03119869,73.70549437,60.80203499,,,,,,,,
10,0.1,21,21,3,87.9047619,78.80877207,87.9047619,77.43233343,75.87329092,79.05747126,73.70883,60.60059232,,,,,,,,
10,1.00E-05,21,21,3,87.80952381,79.03352153,87.80952381,77.41185,75.81435451,79.08045977,73.68137469,60.00500476,,,,,,,,
10,0.0001,21,21,3,87.80952381,79.03352153,87.80952381,77.41185,75.81435451,79.08045977,73.68137469,60.00500476,,,,,,,,
10,0.001,21,21,3,87.80952381,79.03352153,87.80952381,77.41185,75.81435451,79.08045977,73.68137469,60.00500476,,,,,,,,
10,1.00E-05,14,14,3,87.71428571,78.4673906,87.71428571,77.14982817,75.60021332,78.76518883,73.37992033,61.54249407,,,,,,,,
10,0.0001,14,14,3,87.71428571,78.4673906,87.71428571,77.14982817,75.60021332,78.76518883,73.37992033,61.54249407,,,,,,,,
1,0.01,21,21,3,87.61904762,79.46906057,87.61904762,76.89938555,74.47654897,79.52052545,73.02369398,59.51370334,,,,,,,,
1,0.1,21,21,3,87.42857143,79.31250761,87.42857143,76.51749946,74.07713886,79.14942529,72.57929964,59.92323982,,,,,,,,
10,0.1,14,14,3,87.28571429,77.96598797,87.28571429,76.42635185,74.69855134,78.23973727,72.52381776,63.0946087,,,,,,,,
1,1,21,21,3,87.23809524,78.89520742,87.23809524,76.23418013,73.80092315,78.85057471,72.24990146,61.09028592,,,,,,,,
10,1,21,21,3,86.76190476,77.70292412,86.76190476,75.96388104,74.17793116,77.8456486,71.97798479,63.90727569,,,,,,,,
100,0.01,14,14,3,86.71428571,77.06877084,86.71428571,75.66674107,74.01461782,77.39573071,71.64364436,65.54791535,,,,,,,,
100,0.1,21,21,3,86.66666667,77.18475172,86.66666667,75.59074566,73.84360612,77.42857143,71.54675055,65.31562546,,,,,,,,
1,10,21,21,3,86.42857143,78.44418038,86.85714286,75.7141554,73.22164117,78.42364532,71.63273365,62.46308455,,,,,,,,
100,0.001,14,14,3,86.19047619,76.28893935,86.19047619,74.85246969,73.19488528,76.58784893,70.6930502,67.75264649,,,,,,,,
1000,0.001,14,14,3,86.19047619,76.43781952,86.19047619,74.9897596,73.32823442,76.73234811,70.85148963,67.33821844,,,,,,,,
10,10,14,14,3,86.0952381,76.74017762,86.0952381,74.64410497,72.70587539,76.70279146,70.42617447,66.72693517,,,,,,,,
100,1.00E-05,14,14,3,86.0952381,76.22003572,86.0952381,74.73605778,73.04502384,76.5090312,70.55461628,67.97490058,,,,,,,,
100,0.0001,14,14,3,86.0952381,76.22003572,86.0952381,74.73605778,73.04502384,76.5090312,70.55461628,67.97490058,,,,,,,,
1000,0.01,14,14,3,86.04761905,76.28028973,86.04761905,74.80222481,73.15422701,76.52873563,70.6343406,67.76758025,,,,,,,,
1000,1.00E-05,21,21,3,86.04761905,76.20971707,86.04761905,74.85515545,73.24715236,76.53858785,70.69840988,67.94414085,,,,,,,,
1000,0.0001,21,21,3,86.04761905,76.20971707,86.04761905,74.85515545,73.24715236,76.53858785,70.69840988,67.94414085,,,,,,,,
10,1,14,14,3,85.95238095,76.4918773,85.95238095,74.46820014,72.5122447,76.54515599,70.22045612,67.42653045,,,,,,,,
100,0.01,21,21,3,85.85714286,76.16472316,85.85714286,74.34975615,72.43244024,76.37766831,70.08711282,68.31376655,,,,,,,,
10000,0.1,21,21,3,85.80952381,75.80943282,85.80952381,74.17201333,72.23627137,76.22331691,69.87677501,69.3254811,,,,,,,,
1000,0.001,21,21,3,85.76190476,75.82826147,85.76190476,74.36823892,72.63873277,76.18719212,70.12199259,69.11664029,,,,,,,,
1000,1.00E-05,14,14,3,85.76190476,76.1217824,85.76190476,74.57210107,72.83536554,76.40065681,70.35814597,68.29659141,,,,,,,,
1000,0.0001,14,14,3,85.76190476,76.1217824,85.76190476,74.57210107,72.83536554,76.40065681,70.35814597,68.29659141,,,,,,,,
100,1.00E-05,21,21,3,85.71428571,75.99250178,85.71428571,74.14276605,72.20471008,76.19376026,69.84441426,68.81682405,,,,,,,,
100,0.0001,21,21,3,85.71428571,75.99250178,85.71428571,74.14276605,72.20471008,76.19376026,69.84441426,68.81682405,,,,,,,,
100,0.001,21,21,3,85.71428571,75.99250178,85.71428571,74.14276605,72.20471008,76.19376026,69.84441426,68.81682405,,,,,,,,
100,0.1,14,14,3,85.66666667,75.73073987,85.66666667,74.1219765,72.35835745,75.97701149,69.83273309,69.40240938,,,,,,,,
1000,0.1,14,14,3,85.57142857,75.88074885,85.57142857,74.08557751,72.18022306,76.09852217,69.77996728,69.10333045,,,,,,,,
10,10,21,21,3,85.57142857,75.79955863,85.57142857,73.72382085,71.8123245,75.74712644,69.35330486,69.34628492,,,,,,,,
10,1.00E-05,7,7,3,85.47619048,75.81157163,85.47619048,73.96195669,71.99827855,76.03940887,69.63207716,69.34339902,,,,,,,,
10,0.0001,7,7,3,85.47619048,75.81157163,85.47619048,73.96195669,71.99827855,76.03940887,69.63207716,69.34339902,,,,,,,,
10,0.001,7,7,3,85.47619048,75.81157163,85.47619048,73.96195669,71.99827855,76.03940887,69.63207716,69.34339902,,,,,,,,
10000,0.1,14,14,3,85.42857143,75.37508999,85.42857143,73.85944196,72.09870893,75.71428571,69.52499877,70.40746568,,,,,,,,
10,0.01,7,7,3,85.33333333,75.52141095,85.33333333,73.72643093,71.75559577,75.81609195,69.35415896,70.16716707,,,,,,,,
10000,1.00E-05,14,14,3,84.85714286,75.38707849,84.85714286,73.34533011,70.90472809,76.08538588,68.84867348,71.27830834,,,,,,,,
10000,0.0001,14,14,3,84.85714286,75.38707849,84.85714286,73.34533011,70.90472809,76.08538588,68.84867348,71.27830834,,,,,,,,
10000,0.001,14,14,3,84.80952381,75.33835265,84.80952381,73.26822118,70.80642117,76.03284072,68.75679965,71.43259558,,,,,,,,
10000,0.01,14,14,3,84.76190476,75.16195086,84.76190476,73.34149074,71.03777003,75.92446634,68.85583982,71.79434429,,,,,,,,
10000,1,14,14,3,84.76190476,74.66903016,84.76190476,72.88238457,71.01100916,74.86042693,68.37627876,72.48933865,,,,,,,,
10,0.1,7,7,3,84.71428571,75.28185659,85,73.57397449,71.43680477,75.86535304,69.15811319,71.05520692,,,,,,,,
1000,1,14,14,3,84.71428571,74.74659314,84.71428571,72.70321653,70.73813373,74.78817734,68.15894771,72.34115771,,,,,,,,
1000,0.1,21,21,3,84.71428571,75.46783818,85,73.36161966,71.2095155,75.67487685,68.90854806,70.50755287,,,,,,,,
10000,1.00E-05,21,21,3,84.71428571,75.18148821,84.71428571,72.91396287,70.26631442,75.8456486,68.34538738,72.00281526,,,,,,,,
10000,0.0001,21,21,3,84.71428571,75.18148821,84.71428571,72.91396287,70.26631442,75.8456486,68.34538738,72.00281526,,,,,,,,
10000,0.001,21,21,3,84.71428571,75.21101858,84.71428571,72.91126165,70.25084922,75.86206897,68.34086984,71.93592551,,,,,,,,
1000,0.01,21,21,3,84.57142857,74.97186512,84.66666667,72.84837185,70.6896872,75.1592775,68.31109917,71.8843936,,,,,,,,
100,1,14,14,3,84.52380952,74.67704126,84.52380952,72.44696762,70.30956064,74.73563218,67.84302066,72.68353484,,,,,,,,
10000,10,21,21,3,84.52380952,74.6208527,84.52380952,72.36639029,70.34192117,74.52216749,67.7591744,72.77041883,,,,,,,,
