Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,std1,std2,std3,std4,std5,std6,std7,std8
10,1000,30,30,9,86.45,77.12138333,86.45,75.84891699,74.97042495,76.74824121,73.14408947,76.64159506,0,0,0,0,0,0,0,0
1000,0.01,30,30,9,86.45,77.43394403,86.45,75.93142267,75.01323971,76.87236181,73.23428755,75.64805743,0,0,0,0,0,0,0,0
10,10,30,30,9,86.4,77.49986553,86.4,75.84394593,74.84697098,76.8678392,73.13379625,75.48037575,0,0,0,0,0,0,0,0
100,10,30,30,9,86.25,77.13194,86.25,75.56456642,74.73326224,76.41457286,72.82968004,76.57944969,0,0,0,0,0,0,0,0
100,1,30,30,9,86.15,75.5105491,86.15,74.5341058,73.89251603,75.18693467,71.6915357,81.81829518,0,0,0,0,0,0,0,0
100,100,30,30,9,86.15,76.77755416,86.15,75.58614115,74.69529548,76.49849246,72.85125701,77.80693842,0,0,0,0,0,0,0,0
1000,1,30,30,9,85.95,74.80042138,85.95,74.32570673,73.81188364,74.84673367,71.46531053,84.09202196,0,0,0,0,0,0,0,0
1000,1.00E-05,30,30,9,85.85,76.12274773,85.85,74.97784123,74.09937431,75.87738693,72.17503337,79.98730296,0,0,0,0,0,0,0,0
100,1000,30,30,9,85.8,76.3231501,85.8,74.89890904,74.00701479,75.81256281,72.0866534,79.32371484,0,0,0,0,0,0,0,0
100,0.001,30,30,9,85.65,76.21535934,85.65,74.43181116,73.28784137,75.6120603,71.5560203,79.87814234,0,0,0,0,0,0,0,0
100,0.0001,30,30,9,85.6,76.12910753,85.6,74.48672358,73.4788667,75.52261307,71.62305802,80.05328356,0,0,0,0,0,0,0,0
100,1.00E-05,30,30,9,85.45,75.89281894,85.45,74.20793857,73.17035047,75.27537688,71.31150717,80.85756713,0,0,0,0,0,0,0,0
1000,0.0001,30,30,9,85.45,75.61887645,85.45,74.20961262,73.26118891,75.18291457,71.3172905,81.68558728,0,0,0,0,0,0,0,0
0.001,1.00E-05,30,30,9,83.55,75.70787962,83.55,71.51569357,69.97143984,73.12964824,68.28922298,81.8191735,0,0,0,0,0,0,0,0
0.001,0.0001,30,30,9,83.45,75.62569763,83.45,71.26046378,69.64077572,72.95728643,68.00086986,82.14515549,0,0,0,0,0,0,0,0
1000,1000,30,30,9,82.9,71.21413047,82.9,69.27199819,67.93533925,70.66231156,65.80045496,96.61438471,0,0,0,0,0,0,0,0
10,0.001,30,30,9,82.1,74.72866863,82.1,72.8894859,72.70254867,73.07738693,69.88370688,84.08585537,0,0,0,0,0,0,0,0
1000,100,30,30,9,81.8,70.26956625,81.8,68.04880991,66.69771123,69.45577889,64.43678348,99.78390163,0,0,0,0,0,0,0,0
1000,10,30,30,9,81.45,74.87837329,81.45,72.73218386,72.40009162,73.06733668,69.70221105,83.68767933,0,0,0,0,0,0,0,0
0.001,100,30,30,9,81.2,72.87814989,81.2,69.95755674,69.43704642,70.48592965,66.60852487,90.49322521,0,0,0,0,0,0,0,0
0.001,1,30,30,9,79.75,81.74272412,83.7,74.4282632,67.38213859,83.1201005,71.26901382,66.5366636,0,0,0,0,0,0,0,0
