Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy
0.001,1e-05,10,10,3,79.03,75.8138063940309,80.25,72.7786807050134,71.0470570590665,74.6111055276382,69.6890187823729,81.6055949979611
0.001,0.0001,10,10,3,79.025,75.8274369193392,80.25,72.7937502958787,71.0625782745616,74.6256783919598,69.7058272805303,81.5603169617949
0.001,0.001,10,10,3,79.055,75.8890125034581,80.295,72.8687665149744,71.1414159076167,74.6966834170854,69.789522744396,81.3534306480108
0.001,0.01,10,10,3,79.215,76.0359092381658,80.43,73.012860629008,71.2392639303729,74.8894472361809,69.9480225736967,80.9028702983651
0.001,0.1,10,10,3,79.945,77.4772442314957,81.385,74.1366036628589,71.8713153650472,76.5859798994975,71.1781893960139,76.5359194060338
0.001,1,10,10,3,80.335,77.471355615136,80.985,73.7460936308614,71.8885416568774,75.7270854271357,70.7618903415525,76.228131997912
0.001,10,10,10,3,79.57,78.0846477126224,81.11,73.5405754422182,70.4880709543077,76.9306030150754,70.4736752952148,75.1191459543498
0.001,100,10,10,3,76.805,73.8438307349743,77.825,68.1606643813665,65.5261098185102,71.0781407035176,64.4870514070314,88.9210871046127
0.001,1000,10,10,3,74.31,71.1302791444826,75.18,62.7382412331255,59.1210980810298,66.8902010050251,58.3400872168216,98.8191512251619
0.001,10000,10,10,3,73.55,70.3060617597705,74.18,61.4734695778019,58.1792693797395,65.211608040201,56.9445093917603,101.297161162934
0.001,100000,10,10,3,73.42,69.8693784208625,73.705,60.8242701452983,57.8836626865164,64.0952261306533,56.2441388414971,102.471174379187
0.01,1e-05,10,10,3,80.285,77.8296976765536,82.365,75.4762128204064,73.2148560514601,77.8872864321608,72.6719684661094,75.3084210419081
0.01,0.0001,10,10,3,80.285,77.8377203404082,82.365,75.4712965059257,73.2079063295954,77.8847236180904,72.6663416384963,75.2833352956093
0.01,0.001,10,10,3,80.265,77.9039646808539,82.415,75.5180460068251,73.181792593077,78.0154271356784,72.7155817475205,75.121153409666
0.01,0.01,10,10,3,80.41,77.9411750145743,82.395,75.5526035690084,73.2857892557447,77.9709045226131,72.7569254278432,74.9441879730389
0.01,0.1,10,10,3,80.645,78.7747825222557,82.675,76.0254669244734,73.4063272588744,78.8505025125628,73.2698500649779,72.4448163818508
