Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,std1,std2,std3,std4,std5,std6,std7,std8
0.1,0.01,30,30,1,88.5,79.1975468224945,88.5,78.9703861052105,78.5483470047228,79.3969849246231,76.6315642950333,69.4032232105897,0,0,0,0,0,0,0,0
0.1,0.01,30,30,3,89.15,80.2800313208269,89.15,80.4062873517806,80.0232935484834,80.7929648241206,78.2285738219394,65.7963985249792,0,0,0,0,0,0,0,0
0.1,0.01,30,30,5,89.15,80.6610816006271,89.15,80.407812492193,79.9520076310847,80.8688442211055,78.2280650092044,64.5889561113266,0,0,0,0,0,0,0,0
0.1,0.01,30,30,7,89.2,80.7501834887115,89.2,80.511506140272,80.0499731754327,80.978391959799,78.3431404730498,64.2980572433346,0,0,0,0,0,0,0,0
0.1,0.01,30,30,9,89.4,80.9972598453349,89.4,80.7788404841144,80.3300602277922,81.2326633165829,78.6406420970934,63.4681985877277,0,0,0,0,0,0,0,0
0.1,0.01,30,30,11,87.9,79.5581127594185,87.9,78.2168690276973,77.4143693181539,79.0361809045226,75.7808665236019,68.5083662865361,0,0,0,0,0,0,0,0
0.1,0.01,30,30,13,75.75,76.5100907760626,80.3,70.8966850112542,66.7607696917238,75.5788944723618,67.4562578610521,81.2848475398124,0,0,0,0,0,0,0,0
0.1,0.01,30,30,15,75.85,77.1280130832375,80.65,71.3266594938485,66.7169860855868,76.6206030150754,67.9115512748739,79.6730559213071,0,0,0,0,0,0,0,0
